LOOP 3
0 0 0 

0 0 0 

7673 1 3 

0 0 0 

8183 29 34 

0 0 0 

8183 3 67 

0 0 0 

38754 5 1 

63370 1 10 

63370 2 11 

63370 3 12 

63370 4 13 

63370 5 14 

63370 6 15 

63370 7 16 

63370 8 1 

8183 18 39 

7673 1 19 

7673 2 20 

7673 3 21 

7673 4 22 

7673 5 23 

7673 6 1 

8183 24 52 

0 0 0 

8183 5 35 

0 0 0 

8183 15 45 

0 0 0 

0 0 0 

8183 38 1 

8183 2 6 

8183 26 43 

8183 30 53 

8183 6 38 

8183 9 48 

8183 28 4 

8183 7 60 

8183 19 56 

38754 3 46 

0 0 0 

8183 13 50 

8183 27 37 

8183 12 42 

8183 16 47 

38754 4 8 

8183 17 17 

8183 10 64 

0 0 0 

8183 14 28 

0 0 0 

8183 25 33 

8183 31 93 

0 0 0 

0 0 0 

8183 20 58 

8183 35 91 

8183 21 98 

0 0 0 

8183 8 36 

0 0 0 

0 0 0 

0 0 0 

8183 11 44 

0 0 0 

8183 34 57 

8183 4 26 

17452 1 69 

17452 2 70 

17452 3 71 

17452 4 72 

17452 5 73 

17452 6 74 

17452 7 75 

17452 8 76 

17452 9 77 

17452 10 78 

17452 11 79 

17452 12 80 

17452 13 81 

17452 14 82 

17452 15 83 

17452 16 84 

17452 17 85 

17452 18 86 

17452 19 87 

17452 20 88 

17452 21 89 

17452 22 90 

17452 23 1 

8183 36 99 

8183 1 32 

8183 32 96 

38754 2 40 

8183 23 24 

8183 33 66 

0 0 0 

8183 22 95 

8183 37 31 

THE END
LOOP 4
0 0 0 

0 0 0 

7673 1 3 

7673 2 4 

8183 29 34 

0 0 0 

8183 3 67 

0 0 0 

38754 5 1 

63370 1 10 

63370 2 11 

63370 3 12 

63370 4 13 

63370 5 14 

63370 6 15 

63370 7 16 

63370 8 1 

8183 18 39 

7673 1 19 

7673 2 20 

7673 3 21 

7673 4 22 

7673 5 23 

7673 6 1 

8183 24 52 

0 0 0 

8183 5 35 

0 0 0 

8183 15 45 

0 0 0 

